metrics__yearmonth,metrics__careerlevelgroupcode,metrics__careerlevelcode,metrics__metric,metrics__metricvalue,metrics__type,inputs__input,inputs__careerlevelgroupcode,inputs__value,inputs__modeling_FY,inputs__modeling_quarter,modeldetails__modeling_id,modeldetails__modeling_name,modeldetails__modeling_description,modeldetails__modeling_description_text,modeldetails__flag_modeled,modeldetails__create_timestamp,modeldetails__create_enterpriseid,modeldetails__edit_timestamp,modeldetails__edit_enterpriseid,modeldetails__contractbasedcode,modeldetails__ma_cost,modeldetails__leadership_ma_cost,modeldetails__org_hierarchy,modeldetails__loc_hierarchy,leaderfymetricsupdate__careerlevelgroupcode,leaderfymetricsupdate__avgrate,leaderfymetricsupdate__fy,locked_quarter__locked_quarter,modeling_type__modeling_type,reload_metrics__careerlevelgroupcode,reload_metrics__metric,reload_metrics__metricvalue,reload_metrics__modeling_FY,reload_metrics__modeling_quarter,ispartialfy__ispartialfy,ischargeable__modeling_id,ischargeable__ischargeable
202501,120,10000070,BHC,1,A,growth,,1400,26,,24692,global mid market-asia oceania,,,0,2026-03-17T07:13:14.000Z,arpana.a.gupta,2026-03-17T07:13:16.000Z,arpana.a.gupta,N,21.43,0,Reinvention Services > Global Mid-market,Asia Oceania,105,138.1405388888889,25,,Q,105,EPC,0,25,,0,24692,1
202502,120,10000070,BHC,1,A,ATM,105,0,26,,,,,,,,,,,,,,,,105,495.5857180069453,26,,,110,EPC,0,25,,,,
202503,120,10000070,BHC,1,A,ATM,110,0,26,,,,,,,,,,,,,,,,105,491.9470446231156,27,,,115,EPC,0,25,,,,
202504,120,10000070,BHC,1,A,ATM,115,0,26,,,,,,,,,,,,,,,,110,138.1405388888889,25,,,120,EPC,151.71363141722514,25,,,,
202505,120,10000070,BHC,1,A,ATM,120,0,26,,,,,,,,,,,,,,,,110,135.3296581436495,26,,,125,EPC,100.81445921377443,25,,,,
202506,120,10000070,BHC,1,A,ATM,125,0,26,,,,,,,,,,,,,,,,110,121.885858125,27,,,130,EPC,0,25,,,,
202507,120,10000070,BHC,1,A,ATM,130,0,26,,,,,,,,,,,,,,,,,,,,,135,EPC,0,25,,,,
202508,120,10000070,BHC,1,A,ATM,135,0,26,,,,,,,,,,,,,,,,,,,,,105,EHC,0,25,,,,
202509,120,10000070,BHC,1,A,pyramid,105,0,26,,,,,,,,,,,,,,,,,,,,,110,EHC,0,25,,,,
202510,120,10000070,BHC,1,A,pyramid,110,0,26,,,,,,,,,,,,,,,,,,,,,115,EHC,0,25,,,,
202511,120,10000070,BHC,1,A,pyramid,115,20,26,,,,,,,,,,,,,,,,,,,,,120,EHC,1,25,,,,
202512,120,10000070,BHC,1,A,pyramid,120,40,26,,,,,,,,,,,,,,,,,,,,,125,EHC,1,25,,,,
202601,120,10000070,BHC,1,A,pyramid,125,40,26,,,,,,,,,,,,,,,,,,,,,130,EHC,0,25,,,,
202602,120,10000070,BHC,1.1,A,pyramid,130,0,26,,,,,,,,,,,,,,,,,,,,,135,EHC,0,25,,,,
202412,120,10000070,VJO,1,A,pyramid,135,0,26,,,,,,,,,,,,,,,,,,,,,105,AHC,0,25,,,,
202501,125,10000080,BHC,1,A,PRO,105,0,26,,,,,,,,,,,,,,,,,,,,,110,AHC,0,25,,,,
202502,125,10000080,BHC,1,A,PRO,110,0,26,,,,,,,,,,,,,,,,,,,,,115,AHC,0,25,,,,
202503,125,10000080,BHC,1,A,PRO,115,0,26,,,,,,,,,,,,,,,,,,,,,120,AHC,0.7083333333333334,25,,,,
202504,125,10000080,BHC,1,A,PRO,120,0,26,,,,,,,,,,,,,,,,,,,,,125,AHC,0.7083333333333334,25,,,,
202505,125,10000080,BHC,1,A,PRO,125,0,26,,,,,,,,,,,,,,,,,,,,,130,AHC,0,25,,,,
202506,125,10000080,BHC,1,A,PRO,130,0,26,,,,,,,,,,,,,,,,,,,,,135,AHC,0,25,,,,
202507,125,10000080,BHC,1,A,PRO,135,0,26,,,,,,,,,,,,,,,,,,,,,105,BHC,0,25,,,,
202508,125,10000080,BHC,1,A,ATU,105,0,26,,,,,,,,,,,,,,,,,,,,,110,BHC,0,25,,,,
202509,125,10000080,BHC,1,A,ATU,110,0,26,,,,,,,,,,,,,,,,,,,,,115,BHC,0,25,,,,
202510,125,10000080,BHC,1,A,ATU,115,0,26,,,,,,,,,,,,,,,,,,,,,120,BHC,0,25,,,,
202511,125,10000080,BHC,1,A,ATU,120,46.875,26,,,,,,,,,,,,,,,,,,,,,125,BHC,0,25,,,,
202512,125,10000080,BHC,1,A,ATU,125,0,26,,,,,,,,,,,,,,,,,,,,,130,BHC,0,25,,,,
202601,125,10000080,BHC,1,A,ATU,130,0,26,,,,,,,,,,,,,,,,,,,,,135,BHC,0,25,,,,
202602,125,10000080,BHC,1,A,ATU,135,0,26,,,,,,,,,,,,,,,,,,,,,105,BHC,0,26,,,,
202412,125,10000080,VJO,1,A,growth,,0,27,,,,,,,,,,,,,,,,,,,,,110,BHC,0,26,,,,
202603,115,10000050,JOI,0,F,ATM,105,0,27,,,,,,,,,,,,,,,,,,,,,115,BHC,0,26,,,,
202603,115,10000060,JOI,0,F,ATM,110,0,27,,,,,,,,,,,,,,,,,,,,,120,BHC,1,26,,,,
202603,120,10000070,ATU,0,F,ATM,115,0,27,,,,,,,,,,,,,,,,,,,,,125,BHC,1,26,,,,
202603,120,10000070,JOI,0,F,ATM,120,0,27,,,,,,,,,,,,,,,,,,,,,130,BHC,0,26,,,,
202603,125,10000080,JOI,0,F,ATM,125,0,27,,,,,,,,,,,,,,,,,,,,,135,BHC,0,26,,,,
202603,125,10000080,VJO,0,F,ATM,130,0,27,,,,,,,,,,,,,,,,,,,,,105,ATM,0,26,,,,
202603,125,10000090,JOI,0,F,ATM,135,0,27,,,,,,,,,,,,,,,,,,,,,110,ATM,0,26,,,,
202603,115,10000050,BHC,0,F,pyramid,105,0,27,,,,,,,,,,,,,,,,,,,,,115,ATM,0,26,,,,
202603,115,10000060,BHC,0,F,pyramid,110,0,27,,,,,,,,,,,,,,,,,,,,,120,ATM,0,26,,,,
202603,120,10000070,BHC,1,F,pyramid,115,20,27,,,,,,,,,,,,,,,,,,,,,125,ATM,0,26,,,,
202603,125,10000080,BHC,1,F,pyramid,120,40,27,,,,,,,,,,,,,,,,,,,,,130,ATM,0,26,,,,
202603,125,10000090,BHC,0,F,pyramid,125,40,27,,,,,,,,,,,,,,,,,,,,,135,ATM,0,26,,,,
202604,115,10000050,JOI,0,F,pyramid,130,0,27,,,,,,,,,,,,,,,,,,,,,105,PRO,0,26,,,,
202604,115,10000060,JOI,0,F,pyramid,135,0,27,,,,,,,,,,,,,,,,,,,,,110,PRO,0,26,,,,
202604,120,10000070,ATU,1,F,PRO,105,0,27,,,,,,,,,,,,,,,,,,,,,115,PRO,0,26,,,,
202604,120,10000070,JOI,0,F,PRO,110,0,27,,,,,,,,,,,,,,,,,,,,,120,PRO,0,26,,,,
202604,125,10000080,JOI,0,F,PRO,115,0,27,,,,,,,,,,,,,,,,,,,,,125,PRO,0,26,,,,
